ts,host,soc,os,model,rep,num_thread,num_ctx,num_predict,prompt_tokens,gen_tokens,prompt_sec,gen_sec,ttft_sec,total_sec,prompt_tps,gen_tps,proc_rss_mb,proc_hwm_mb,sys_mem_avail_mb,cpu_temp_c
2025-10-06_16:58:09,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-q5,3,2,1024,128,1024,128,25.2963,5.6660,31.1091,31.0381,40.48,22.59,183,184,7056,72.5
2025-10-06_16:59:13,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-q5,1,2,2048,32,2048,32,59.0448,1.7701,61.8683,61.7557,34.69,18.08,180,184,7030,72.5
2025-10-06_17:00:16,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-q5,2,2,2048,32,2048,32,59.0068,1.7733,60.9746,60.8602,34.71,18.05,183,184,7022,71.1
2025-10-06_17:01:20,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-q5,3,2,2048,32,2048,32,59.0674,1.7818,61.0394,60.9266,34.67,17.96,184,184,7021,72.5
2025-10-06_17:02:25,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-q5,1,2,2048,64,2048,64,59.1446,3.5938,62.9847,62.8328,34.63,17.81,180,184,7019,72.5
2025-10-06_17:03:30,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-q5,2,2,2048,64,2048,64,58.9679,3.5499,62.7094,62.5976,34.73,18.03,184,184,7019,73.0
2025-10-06_17:04:35,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-q5,3,2,2048,64,2048,64,58.9701,3.5499,62.7072,62.5961,34.73,18.03,181,184,7012,73.0
2025-10-06_17:05:43,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-q5,1,2,2048,128,2048,128,59.0270,7.1372,66.3562,66.2424,34.70,17.93,180,184,7014,73.0
2025-10-06_17:06:52,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-q5,2,2,2048,128,2048,128,58.9893,7.1117,66.2910,66.1791,34.72,18.00,181,184,7010,70.1
2025-10-06_17:08:00,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-q5,3,2,2048,128,2048,128,59.0340,7.1696,66.3948,66.2812,34.69,17.85,180,184,7012,73.0
2025-10-06_17:10:39,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-q5,1,2,4096,32,4096,32,152.8825,2.5474,156.5891,156.3921,26.79,12.56,179,184,6962,72.0
2025-10-06_17:13:17,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-q5,2,2,4096,32,4096,32,152.8605,2.5417,155.6902,155.4884,26.80,12.59,180,184,6946,72.0
2025-10-06_17:15:55,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-q5,3,2,4096,32,4096,32,152.7548,2.5457,155.5853,155.3881,26.81,12.57,180,184,6954,73.5
